0,1,2,3,4,5
apr-landia-i},full,deine,Ad,(pth)-dyes-It,-1
Description,Date,NaN,NaN,NaN,-1
Brought-Forward,-,-,-,"7,991.24",-1
ATM-Withdrawal-17/03/2020-19:30,17-03-2020,"5,000.00",-,"2,991.24",-1
$E99992003180109:-SCBL-TCP-EXPOLANKA-FREIGHT-DUBA,18-03-2020,NaN,"9,600.00","12,591.24",27
JREF/INV-NO-0046,-,-,-,-,-1
ATM-Withdrawal-18/03/2020-14:57,18-03-2020,"6,300.00",-,"6,291.24",-1
POS-16/03/20-LULU-CENTER-LLC,19-03-2020,58.00,-,"6,233.24",-1
ATM-Withdrawal-22/03/2020-10:17,22-03-2020,600.00,-,"5,633.24",-1
ATM-Withdrawal-25/03/2020-16:59,25-03-2020,600.00,-,"5,033.24",-1
000067530637:-STS-BARSAN-GLOBAL-FZEFZJOBB1507-JAF,26-03-2020,-,"2,132.30","7,165.54",-1
POS-23/03/20-EPPCO-SITE-1058,26-03-2020,80.00,-,"7,085.54",-1
Monthly-Charges/One,28-03-2020,262.50,-,"6,823.04",-1
Mar-2020,28-03-2020,262.50,-,"6,823.04",-1
SwitchATM-Withdrawal-29/03/2020-12:30,29-03-2020,200.00,-,"6,623.04",-1
POS-26/03/20-NESTO-HYPERMARKET-LLC-BR,29-03-2020,180.84,-,"6,442.20",-1
POS-26/03/20-EMARAT,29-03-2020,60.00,-,"6,382,20",-1
AL-QUSAIS-(6555),29-03-2020,60.00,-,"6,382,20",-1
Switch-Charge-Txn-on-Mar-29-2020,29-03-2020,2.00,-,"6,380,20",-1
Inward-Direct-Debit-Ref#520000007-120190000001-48000009,30-03-2020,"1,838.00",-,"4,542.20",-1
Inward-posting-of-cheque-500017,30-03-2020,"1,501.08",-,"3,041.12",-1
000067886907:-GDI-HENDRIK-WILLEM-FLIER32-VILLA-32,02-04-2020,-,"2,250.00","5,291.12",-1
POS-30/03/20-Amazon.ae,04-04-2020,131.96,-,"5,159.16",-1
ATM-Withdrawal-04/04/2020-15:55,04-04-2020,800.00,-,"4,359.16",-1
SwitchATM-Withdrawal-05/04/2020-12:25,05-04-2020,"2,000.00",-,"2,359.16",-1
Switch-Charge-Txn,05-04-2020,1.50,-,"2,357.66",-1
on-Apr-2020,05-04-2020,1.50,-,"2,357.66",-1
SwitchATM-Withdrawal-11/04/2020-08:56,11-04-2020,300.00,-,"2,057.66",-1
POS-07/04/20-UNION-CO-OPERATIVE-SOCIET,11-04-2020,13.34,-,"1,920.32",-1
Switch-Charge-Txn-on-Apr-11-2020,11-04-2020,.50,-,"1,918.82",-1
000068240292:-STS-BARSAN-GLOBAL-FZEFZJOBB1507-JAF,12-04-2020,NaN,"3,837.48","5,756.30",-1
oO,-,-,-,-,-1
000068243218:-GDS-HI-GUESTS-VACATION-HOMES-RENTA,12-04-2020,NaN,"4,725.00","10,481.30",-1
POS-09/04/20-NESTO-HYPERMARKET-LLC-BR,12-04-2020,97.65,-,"10,383.65",-1
ATM-Withdrawal-12/04/2020-15:22,12-04-2020,"2,000.00",-,"8,383.65",-1
"SE99992004152629:-SCBL-TCP-EXPOLANKA-FREIGHT-DUB,",15-04-2020,NaN,"51,182.00","59,565-65",27
IREF/.,-,-,-,-,-1
ATM-Withdrawal-15/04/2020-16:14,15-04-2020,200.00,-,"59,365.65",-1
POS-12/04/20-NESTO-HYPERMARKET-LLC-BR,15-04-2020,83.02,-,"59,282.63",-1
ATM-withdrawal-19/04/2020-11:06,19-04-2020,"6,000.00",-,"53,282.63",-1
ATM-withdrawal-19/04/2020-11:06,19-04-2020,"5,000.00",-,"48,282.63",-1
POS-18/04/20-UNION-CQOP,21-04-2020,281.12,-,"48,001-51",-1
SwitchATM-Withdrawal-23/04/2020-13:04,-,-,NaN,"45,501.51",-1
Carried,-,-,-,"45,501.51",-1
