0,1,2,3,4,5
operat-hit},quill,-,-,-,-1
Description,Date,NaN,NaN,NaN,-1
Brought-Forward,-,-,-,"14,792.24",-1
ATM-Withdrawal-27/02/2020-14:07,27-02-2020,"6,500.00",-,"8,292.24",-1
ATM-Withdrawal-28/02/2020-20:15,29-02-2020,"2,300.00",-,"5,992.24",-1
Inward-Direct-Debit-Reff#520000007-120190000001-48000008,29-02-2020,"1,838.00",-,"4,154-24",-1
Inward-posting-of-cheque-500016,29-02-2020,"1,501.08",-,"2,653.16",-1
SwitchATM-Withdrawal-29/02/2020-23:33,01-03-2020,"1,100.00",-,"1,553.16",-1
Switch-Fee,01-03-2020,1.00,-,"1,552.16",-1
Switch-Charge-Txn-on-Mar-2020,01-03-2020,2.00,-,"1,550.16",-1
CCDM-0301-Deposit-02/03/2020-15:26,02-03-2020,-,"10,000.00","11,550.16",-1
POS-28/02/20-NESTO-HYPERMARKET-LLC-BR,02-03-2020,176.07,-,"11,374.09",-1
CCDM-0304-Deposit-02/03/2020-16:43,02-03-2020,-,200.00,"11,574.09",-1
ATM-Withdrawal-02/03/2020-18:34,02-03-2020,"6,600.00",-,"4,974.09",-1
ATM-Withdrawal-04/03/2020-09:35,04-03-2020,200.00,-,"4,774.09",-1
PQS-01/03/20-EMARAT-NAD-AL-HAMAR(6192),04-03-2020,100.00,-,"4,674.09",-1
SwitchATM-Withdrawal-04/03/2020-19:18,04-03-2020,"2,000.00",-,"2,674.09",-1
Switch-Charge-Txn-on-Mar-2020,04-03-2020,2.00,-,"2,672.09",-1
ATM-Withdrawal-06/03/2020-12:22,07-03-2020,300.00,-,"2,372.09",-1
$E99992003081105:-SCBL-STS-EXPOLANKA-FREIGHT-DUB.,08-03-2020,NaN,"9,600.00","11,972.09",27
/REF/INV-NO-0042-AND,-,-,-,-,-1
POS-05/03/20-EPPC-SITE-22,08-03-2020,70.00,-,"11,902.09",-1
POS-06/03/20-NESTO-HYPERMARKET-LLC-BR,09-03-2020,168.19,-,"11,733.90",-1
POS-06/03/20-ENOC-SITE-1051,09-03-2020,60.00,-,"11,673.90",-1
ATM-Withdrawal-09/03/2020-14:23,09-03-2020,"3,000.00",-,"8,673.90",-1
000066958421:-STS-BARSAN-GLOBAL-FZEFZJOBB1507-JAF.,11-03-2020,-,"4,707.08","13,380.98",-1
oO,-,-,-,-,-1
POS-08/03/20-EMARAT,11-03-2020,60.00,-,"13,320.98",-1
AL-QUSAIS-(6555),11-03-2020,60.00,-,"13,320.98",-1
ATM-Withdrawal-11/03/2020-19:34,11-03-2020,"3,000.00",-,"10,320.98",-1
ATM-Withdrawal-12/03/2020-10:47,42-03-2020,"3,300.00",-,"7,020.98",-1
"$E99992003124343:-SCBL-TCP-EXPOLANKA-FREIGHT-DUB,",12-03-2020,NaN,"13,897.50","20,918-48",27
/REF/.,-,-,-,-,-1
ATM-Withdrawal-14/03/2020-14:09,14-03-2020,"1,200.00",-,"19,718.48",-1
Inward-posting-of-cheque-500042,15-03-2020,"1,575.00",-,"18,143.48",-1
ATM-withdrawal-15/03/2020-18:16,15-03-2020,"7,000.00",-,"11,143.48",-1
ATM-withdrawal-15/03/2020-18:16,15-03-2020,"7,000.00",-,"4,143.48",-1
$E99992003162011:-SCBL-TCP-EXPOLANKA-FREIGHT-DUB.,16-03-2020,NaN,"9,600.00","13,743.48",27
/REF/INV-NO-0044,-,-,-,-,-1
POS-13/03/20-LULU-CENTER-LLC,16-03-2020,67.45,-,"13,676.03",-1
POS-13/03/20-Etisalal-Sharjah-#2,16-03-2020,684.79,-,"12,991.24",-1
ATM-Withdrawal-16/03/2020-14:29,-,-,-,"7,991.24",-1
Carried,-,-,-,NaN,-1
