0,1,2,3,4,5
Joli-is},fq,Aas,Anan,Ga!-ape,-1
Description,Date,NaN,NaN,NaN,-1
Brought-Forward,-,-,-,"45,501.51",-1
Switch-Charge-Txn-on-Apr-23-2020,23-04-2020,1.50,-,"45,500.01",-1
POS-21/04/20-ENOC-SITE-1036,25-04-2020,100.00,-,"45,400.01",-1
POS-22/04/20-MBME-MADINA-MALL,26-04-2020,220.00,-,"45,180.01",-1
POS-22/04/20-Etisalat,26-04-2020,115.00,-,"45,065-01",-1
Dubai-#2,26-04-2020,115.00,-,"45,065-01",-1
POS-22/04/20-Etisalat,26-04-2020,300.00,-,"44,765.01",-1
Dubai-#2,26-04-2020,300.00,-,"44,765.01",-1
POS-22/04/20-Etisalat,26-04-2020,561.16,-,"44,203.85",-1
Dubai-#2,26-04-2020,561.16,-,"44,203.85",-1
UAES-CHRGS-REV-29/03/20-WD,26-04-2020,-,0.50,"44,204.35",-1
Monthly-Charges/One,28-04-2020,262.50,-,"43,941.85",-1
Apr-2020,28-04-2020,262.50,-,"43,941.85",-1
ATM-withdrawal-28/04/2020-08:26,28-04-2020,"5,000.00",-,"38,941.85",-1
ATM-withdrawal-28/04/2020-08:27,28-04-2020,"4,000.00",-,"34,941.85",-1
Inward-Direct-Debit-Ref#520000007-12019000000148000010,30-04-2020,"1,838.00",-,"33,103.85",-1
Inward-posting-of-cheque,02-05-2020,"1,501.08",-,"31,602.77",-1
500018,02-05-2020,"1,501.08",-,"31,602.77",-1
ATM-Withdrawal-02/05/2020-10:24,02-05-2020,"2,000.00",-,"29,602.77",-1
ATM-Withdrawal-02/05/2020-11:43,02-05-2020,"3,000.00",-,"26,602.77",-1
DEG-ePay-190849-Self-Service,03-05-2020,425.00,-,"26,177.77",-1
POS-02/05/20-NESTO-HYPERMARKET-LLC-BR,05-05-2020,124.38,-,"26,053-39",-1
000069262373:-GDS-Hi-GUESTS-VACATION-HOMES-RENTA,06-05-2020,NaN,"1,665.00","27,718-39",-1
000069296347:-GDS-HI-GUESTS-VACATION-HOMES-RENTA,07-05-2020,NaN,"4,725.00","32,443.39",-1
ATM-Withdrawal-10/05/2020-14:48,10-05-2020,-,-,"25,643.39",-1
"000069442165:-STS-BARSAN-GLOBAL-FZEFZJOBB1507-JAF,",-,-,"1,582.64","27,226.03",-1
Oo,-,-,-,-,-1
Closing,-,-,-,"27,226.03",-1
