0,1,2,3,4,5
Description,Date,Debit,Credit,Current-Balance,-1
Opening-Balance,-,-,-,"11,284.63",-1
POS-28/12/19-CARREFOUR-FESTIVAL-CITY,02-01-2020,467.00,-,"10,817.63",-1
SwitchATM-Withdrawal-05/01/2020-13:42,05-01-2020,800.00,-,"10,017.63",-1
ATM-withdrawal-05/01/2020-17:06,05-01-2020,"3,500.00",-,"6,517.63",-1
Switch-Charge-Txn-on-Jan-2020,05-01-2020,2.00,-,"6,515.63",-1
ATM-withdrawal-08/01/2020-10:37,08-01-2020,400.00,-,"6,115.63",-1
SwitchATM-Withdrawal-08/01/2020-13:54,08-01-2020,300.00,-,NaN,-1
Switch-Charge-Txn-on-Jan-2020,08-01-2020,2.00,-,NaN,-1
SE99992001120313:-SCBL-TCP-EXPOLANKA-FREIGHT-DUBA,12-01-2020,NaN,"33,323.00","39,136.63",27
"/REF/,",-,-,-,-,-1
ATM-Withdrawal-13/01/2020-09:53,13-01-2020,"10,000.00",-,"29,136.63",-1
ATM-Withdrawal-14/01/2020-10:28,14-01-2020,"5,500.00",-,"23,636.63",-1
Inward-posting-of-cheque-500040,15-01-2020,"1,575.00",-,"22,061.63",-1
POS-12/01/20-ENOC-SITE-NO.98,15-01-2020,100.00,-,"21,961.63",-1
POS-12/01/20-DAR-AL-NASEEM-PHARMACY,15-01-2020,32.00,-,"21,929.63",-1
ATM-withdrawal-16/01/2020-11:03,16-01-2020,"3,500.00",-,"18,429.63",-1
$E99992001-162455:-SCBL-TCP-EXPOLANKA-FREIGHT-DUBA,16-01-2020,NaN,"3,900.00","22,329.63",28
"/REF/,",-,-,-,-,-1
ATM-Withdrawal-16/01/2020-17:41,16-01-2020,600.00,-,"21,729.63",-1
ATM-Withdrawal-17/01/2020-10:38,18-01-2020,200.00,-,"21,529.63",-1
ATM-Withdrawal-20/01/2020-09:15,20-01-2020,"5,000.00",-,"16,529.63",-1
ATM-Withdrawal-20/01/2020-09:16,20-01-2020,"5,000.00",-,"11,529.63",-1
{nward-posting-of-cheque-500043,20-01-2020,"3,000.00",-,"8,529.63",-1
ATM-Withdrawal-20/01/2020-20:26,20-01-2020,"1,000.00",-,"7,529.63",-1
SwitchATM-Withdrawal-21/01/2020-21:22,22-01-2020,"1,000.00",-,"6,529.63",-1
CCDM-1401-Deposit-22/01/2020-11:30,22-01-2020,-,"6,210.00","12,739.63",-1
CCDM-1401-Deposit-22/01/2020-11:32,22-01-2020,-,70.00,"12,809.63",-1
Switch-Charge-Txn-on-Jan-22-2020,22-01-2020,2.00,-,"12,807.63",-1
ATM-Withdrawal-23/01/2020-12:25,23-01-2020,"10,000.00",-,"2,807.63",-1
POS-21/01/20-DU-MADINA-MALL-F10DB16,25-01-2020,320.00,-,"2,487.63",-1
POS-21/01/20-Etisalat,25-01-2020,550.00,-,"1,937.63",-1
Dubai-#2,25-01-2020,550.00,-,"1,937.63",-1
POS-23/01/20-DAR-AL-NASEEM-PHARMACY,26-01-2020,57.00,-,NaN,-1
000064869849:-STS-BARSAN-GLOBAL-FZEFZJOBB1507-JAF.,26-01-2020,-,"5,364.71","7,245.34",-1
ATM-Withdrawal-27/01/2020-14:31,27-01-2020,NaN,-,"6.745,34",-1
Monthly-Charges/One-Jan-2020,28-01-2020,262.50,-,"6,482.84",-1
POS-25/01/20-NESTO-HYPERMARKET-LLC-BR,28-01-2020,108.91,-,"6,373,93",-1
ATM-Withdrawal-28/01/2020-12:02,28-01-2020,"2,500.00",-,"3,873.93",-1
CCDM-8609-Deposit-29/01/2020-21:28,-,-,750.00,"4,623.93",-1
Carried,-,-,-,-,-1
